City,Country,Latitude,Longitude,Date/Time,Temperature (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
Gigmoto,PH,13.78,124.39,Sun Mar 31 11:10:22 2019,74.77,100,7.4,8
Atuona,PF,-9.8,-139.03,Sun Mar 31 11:08:51 2019,81.52,100,13.0,68
Pimentel,BR,-3.7,-45.5,Sun Mar 31 11:10:22 2019,85.03,79,3.71,56
Christchurch,NZ,-43.53,172.64,Sun Mar 31 11:07:38 2019,63.61,72,19.46,92
Lagoa,PT,37.14,-8.45,Sun Mar 31 11:02:14 2019,62.15,77,4.7,75
Ilulissat,GL,69.22,-51.1,Sun Mar 31 09:50:00 2019,17.6,78,18.34,75
Ushuaia,AR,-54.81,-68.31,Sun Mar 31 10:00:00 2019,51.8,71,11.41,75
New Norfolk,AU,-42.78,147.06,Sun Mar 31 11:10:14 2019,48.58,57,4.7,20
Pevek,RU,69.7,170.27,Sun Mar 31 11:09:10 2019,-6.95,60,5.61,0
Esperance,TT,10.24,-61.45,Sun Mar 31 11:01:06 2019,87.64,59,14.99,40
Tuktoyaktuk,CA,69.44,-133.03,Sun Mar 31 10:00:00 2019,28.4,92,17.22,90
Bluff,AU,-23.58,149.07,Sun Mar 31 11:08:52 2019,54.61,62,9.42,0
Punta Arenas,CL,-53.16,-70.91,Sun Mar 31 11:02:26 2019,56.16,62,11.41,75
Visby,SE,57.64,18.3,Sun Mar 31 11:01:53 2019,40.5,69,8.05,0
Castro,CL,-42.48,-73.76,Sun Mar 31 10:00:00 2019,53.6,100,4.7,90
Kavaratti,IN,10.57,72.64,Sun Mar 31 11:10:25 2019,83.95,100,9.98,0
Ancud,CL,-41.87,-73.83,Sun Mar 31 10:00:00 2019,53.6,100,4.7,90
Zhigansk,RU,66.77,123.37,Sun Mar 31 11:10:26 2019,16.81,80,6.29,80
Dibulla,CO,11.27,-73.31,Sun Mar 31 10:00:00 2019,84.2,70,11.41,75
Naze,NG,5.43,7.07,Sun Mar 31 10:00:00 2019,89.6,62,5.82,75
Rikitea,PF,-23.12,-134.97,Sun Mar 31 11:08:46 2019,76.66,100,19.48,56
Kushnarenkovo,RU,55.11,55.34,Sun Mar 31 10:00:00 2019,37.0,80,13.0,0
Vaini,IN,15.34,74.49,Sun Mar 31 11:08:47 2019,72.7,83,3.38,0
Jamestown,AU,-33.21,138.6,Sun Mar 31 11:08:49 2019,41.2,84,2.71,0
Ossora,RU,59.24,163.07,Sun Mar 31 11:09:33 2019,29.23,93,11.54,88
Hobart,AU,-42.88,147.33,Sun Mar 31 11:03:15 2019,48.58,57,4.7,20
Cape Town,ZA,-33.93,18.42,Sun Mar 31 11:06:06 2019,64.06,59,10.29,40
Chokurdakh,RU,70.62,147.9,Sun Mar 31 11:03:23 2019,10.69,66,2.93,44
Fairbanks,US,64.84,-147.72,Sun Mar 31 11:01:37 2019,24.46,100,4.72,1
Coxim,BR,-18.5,-54.75,Sun Mar 31 11:10:28 2019,97.81,31,3.83,12
Upernavik,GL,72.79,-56.15,Sun Mar 31 11:08:55 2019,10.33,100,7.18,56
Buraydah,SA,26.33,43.97,Sun Mar 31 10:00:00 2019,77.0,73,4.7,75
Qaanaaq,GL,77.48,-69.36,Sun Mar 31 10:57:29 2019,-2.09,80,5.84,24
Bethel,US,60.79,-161.76,Sun Mar 31 09:56:00 2019,26.15,92,4.7,1
